source_id,target_id,distance,distance_rank,dataset,method,p_near,near_comp_mean,selected,fallback_used
8,5,0.4682,1,bciciv2a,gmm2,1.0,0.60857176532847,1,0
0,6,0.30925,2,bciciv2a,gmm2,0.9999999955969812,0.45443588629624926,1,0
1,6,1.5943,8,bciciv2a,gmm2,2.4327537270176157e-13,0.45443588629624926,0,0
2,6,0.6645,6,bciciv2a,gmm2,0.9998403810152282,0.45443588629624926,1,0
3,6,1.231,7,bciciv2a,gmm2,3.7108657536675205e-06,0.45443588629624926,0,0
4,6,0.4976,4,bciciv2a,gmm2,0.9999991223871312,0.45443588629624926,1,0
5,6,0.6081,5,bciciv2a,gmm2,0.9999739309847369,0.45443588629624926,1,0
7,6,0.3496,3,bciciv2a,gmm2,0.9999999869982087,0.45443588629624926,1,0
8,6,0.2976,1,bciciv2a,gmm2,0.9999999967622184,0.45443588629624926,1,0
0,7,0.6676,5,bciciv2a,gmm2,8.610513884635112e-06,0.26406949018303066,0,0
1,7,0.9397,8,bciciv2a,gmm2,2.99464318359716e-14,0.26406949018303066,0,0
2,7,0.1793,1,bciciv2a,gmm2,0.9999738591000964,0.26406949018303066,1,0
3,7,0.7841,6,bciciv2a,gmm2,3.8327561883274215e-09,0.26406949018303066,0,0
4,7,0.6549,4,bciciv2a,gmm2,1.887717422636168e-05,0.26406949018303066,0,0
5,7,0.6413,3,bciciv2a,gmm2,4.321842203445127e-05,0.26406949018303066,0,0
6,7,0.3496,2,bciciv2a,gmm2,0.9906434697295526,0.26406949018303066,1,0
8,7,0.8971,7,bciciv2a,gmm2,8.836893377374483e-13,0.26406949018303066,0,0
0,8,0.8645,6,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
1,8,1.6839,8,bciciv2a,gmm2,7.388814102554013e-07,0.7017286751011617,0,0
2,8,0.7461,3,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
3,8,0.8594,5,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
4,8,0.7792,4,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
5,8,0.4682,2,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
6,8,0.2976,1,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
7,8,0.8971,7,bciciv2a,gmm2,1.0,0.7017286751011617,1,0
